first_move,online_white_odds,online_w1_move_per_1000,online_w1_avg_draw,master_w1_move_per_1000,master_w1_game_length
a3,0.9225,0.3761,25.6,0.35819999999999996,88.1429
b3,1.0948,4.639,28.4571,9.403500000000001,93.3669
b4,0.9221,1.787,23.6273,0.35819999999999996,42.5
c3,0.7821,0.2297,26.4,N/A,N/A
c4,1.3213,74.4843,32.7165,69.9445,82.8123
d3,0.8817,0.3585,22.7,0.5373,77.2857
d4,1.3619,376.3653,32.4244,248.9701,84.0283
e3,0.6872,0.4925,20.7,0.4478,63.4286
e4,1.2123,488.45709999999997,27.8567,590.7217999999999,83.0584
f4,0.8635,4.691,23.04,1.8806999999999998,91.0278
g3,1.4172,5.3989,30.3,4.9257,86.5192
g4,0.7521,0.2292,18.75,N/A,N/A
h3,0.8819,0.0526,21.9,0.0896,64.5
h4,0.7197,0.0348,19.0,N/A,N/A
Nc3,1.0075,1.2881,26.46,0.26870000000000005,93.5385
Nf3,1.3,41.1156,30.9,71.73559999999999,84.2652
